,BPR,PR_fan,PR_LC,PR_HC,T4,eta_fan,eta_LC,eta_HC,eta_B,eta_HT,eta_LT,thrust,TSFC,error
0,5.130102872848511,2.1509436130523683,1.8463514804840089,12.784201622009277,1502.6562988758087,0.9234179437160491,0.882738823890686,0.8717400276660919,0.9885449287295341,0.8905981457233428,0.9457440447807312,165.33638327042019,9.195797379281265,0.23877640676082995
1,5.62494033575058,2.084240937232971,1.9718549251556396,10.857623815536499,1420.326668024063,0.87786745429039,0.8543359649181366,0.8475143218040466,0.9872314777970314,0.8980899131298065,0.8996467900276184,152.81245752362483,9.495730776732373,0.19059283374790512
2,5.808443248271942,2.1198854207992555,1.9721819400787353,10.154564917087555,1424.0356266498566,0.9455702066421509,0.8441285502910614,0.9065017127990722,0.9777633175253868,0.9549096858501434,0.8941766929626465,151.51297687499223,8.846281973501718,0.21361604293563302
3,5.636573672294617,1.5885480403900147,1.5888926982879639,9.810515403747559,1667.9725527763367,0.9160724163055419,0.822533096075058,0.8915584945678711,0.9720183181762695,0.9328216707706452,0.938082457780838,127.36332506940671,10.545914980224094,0.05350041614329942
4,5.418024718761444,1.423539686203003,1.801727056503296,9.851537704467773,1683.2868039608002,0.8589753091335296,0.8709781718254089,0.8619219207763672,0.9901166871190071,0.8637879705429077,0.907427943944931,118.88196774802336,11.41360681101213,0.0670498761112752
5,5.811345219612122,1.6771103620529175,1.8222059726715087,13.700794279575348,1618.3653056621552,0.9209602117538451,0.8780858409404755,0.8716227674484253,0.9528770071268081,0.9575757300853729,0.9538331341743469,129.5945068803732,9.374005961958439,0.11365943986844068
6,5.713951230049133,1.6914837837219239,1.453610324859619,8.369521141052246,1577.4922847747803,0.9147386193275451,0.884380019903183,0.8451569938659668,0.9801513257622718,0.951344279050827,0.8787912917137146,120.18053470356506,10.203568081132856,0.09768634478564019
7,5.4736523032188416,2.4889969348907472,1.7734990596771238,9.943779468536377,1339.7169291973114,0.8767444252967834,0.8275148820877075,0.9061039531230926,0.9615620857477187,0.8693851208686828,0.9656324398517608,162.78042288607375,9.961065292140661,0.21068737495158762
8,5.706620097160339,2.459604287147522,1.2254529953002928,14.265538513660431,1370.215404033661,0.875031179189682,0.8830094170570374,0.8603799843788147,0.9589836513996124,0.9247965252399444,0.8742400777339935,152.8078862069467,10.443790490857669,0.1597514426149871
9,5.012559413909912,1.4883814096450807,1.9777566909790039,11.938053667545319,1585.751849412918,0.9231390893459319,0.8743672144412994,0.8950629675388335,0.9787705513834953,0.9085878646373748,0.9477170538902282,122.2560201111238,9.750327147215657,0.10496507419345034
