,mff,R,Zx11,Zx12,m1,b1,d1,gama1,Zx21,Zx22,m2,b2,d2,gama2,Zx31,Zx32,m3,b3,d3,gama3,cost,safety_factor,error,est_error,state_loss,error_loss
0,2.7573424555162895,0.3928806076122505,38.47619955996032,38.157341858566284,0.37681222663406666,6.423356524246746,-4.08140470599681,0.5030857831076294,22.87816553015061,41.600660742011144,0.7859149277220985,14.491402892034618,14.639782516044477,0.1896101929961289,22.3544376146964,44.80802233823973,0.7459594115192026,12.466012970872448,-10.725698745057088,2.03061010400896,0.41494782833821237,43.89351127992361,inf,0.19280409812927246,0.26514536142349243,5.984622955322266
1,2.7573424555162895,0.3928806076122505,38.47619955996032,38.157341858566284,0.37681222663406666,6.423356524246746,-4.08140470599681,0.5030857831076294,22.87816553015061,41.600660742011144,0.7859149277220985,14.491402892034618,14.639782516044477,0.1896101929961289,22.3544376146964,44.80802233823973,0.7459594115192026,12.466012970872448,-10.725698745057088,2.03061010400896,0.41494782833821237,43.89351127992361,inf,0.13075119256973267,0.2586727738380432,5.892341613769531
2,0.86384346195589,1.5051760613918304,22.51629882535735,70.00577252146601,0.401456406712532,7.585324645042419,-17.14534193277359,-1.9416003232182912,12.24014248259259,71.50541218198364,0.9709206879138945,13.25396716594696,17.00242280960083,-1.9413830155151246,40.998789741004586,68.47926982293522,0.7471942722797393,14.074479937553406,7.074744701385498,-2.7275218133743997,0.5175705225513021,72.95463248968123,0.16410791146015594,0.12148819863796234,0.2524098753929138,5.783838272094727
3,3.9626369895693063,0.7268543511629104,27.956546191055182,78.33125633601588,0.6038009494543075,8.065434098243713,5.339677333831787,1.5748267714333792,11.093180352602639,65.73571981455076,0.857743614912033,13.605247139930725,15.26982307434082,-0.22840902775281835,24.53022908316177,64.91558703863579,0.9980352103710175,9.824150204658508,15.458242893218994,1.904012831696968,1.037576047978703,23.010199631529332,0.23876176360911375,0.10635942965745926,0.2361196130514145,5.7789459228515625
4,1.3348794293932318,0.6222158446907997,39.445351602904026,73.78893152445394,0.5104926556348801,9.268880188465118,18.728477954864502,-1.823160977492709,19.05963484798992,57.91843592022723,1.0,7.022459805011749,-19.784178752452135,3.141592653589793,33.73455542516524,79.69692734786565,0.8285556972026824,5.739466845989227,12.495572566986084,-1.0884024373131163,0.5627834358692009,57.300037481452975,0.1113514822871686,0.0981982871890068,0.22161650657653809,0.013977842405438423
5,1.2859045377504528,0.6105948269367218,39.48318195450503,74.2841817398103,0.5078423321247101,9.332292079925537,18.565082550048828,-1.8692822670409737,18.83526771327776,58.350515286545274,1.0,7.105671167373657,-19.44009706377983,3.141592653589793,33.49304694882566,79.57772014681483,0.8265824794769288,5.6911445409059525,12.87238359451294,-1.0751544384407867,0.5549166173044598,55.89212903070728,0.08821181088815161,0.08980238437652588,0.20532068610191345,5.776147365570068
6,1.236712312715128,0.6044631466269492,39.5378084176417,74.77699704587067,0.5071895092725753,9.379952549934387,18.561322689056396,-1.9097798654256428,18.588038144892842,58.80860045689214,1.0,7.173767983913422,-19.093603491783142,3.141592653589793,33.22813721284139,79.59610204008919,0.8260664463043212,5.631300732493401,13.225839138031006,-1.0821464846590056,0.5485960744236348,57.813518783635125,0.09282449990718608,0.08958626538515091,0.19550210237503052,5.775457382202148
7,1.1869358132662475,0.6041058897972107,39.59740352381158,75.27127147360653,0.5086121886968613,9.400821924209595,18.640623092651367,-1.9464423245870837,18.321179098666757,59.28295483392072,1.0,7.217508405447006,-18.738146722316742,3.141592653589793,32.946040358863954,79.71157936135704,0.8267960608005522,5.565857365727425,13.564085960388184,-1.1028050413536707,0.5432858686080282,57.385881291267594,0.09014341431264156,0.07397802174091339,0.18371857702732086,5.77438497543335
8,2.4124750140354334,1.640856647491455,40.999999,76.78566042239392,0.874597930908203,7.423129975795746,1.1510372161865234,2.2289733291603344,25.86251778359318,43.39335385525554,0.7544979274272918,11.908057928085327,15.475740432739258,1.028279828005112,15.042081167233542,44.62232644496954,0.8262097656726837,7.157925069332123,-7.05687403678894,0.8915720294394269,0.5137876815028619,102.47561441390405,0.19106195878114818,0.0815121978521347,0.18183889985084534,0.031248515471816063
9,1.0872646481838524,0.6146480947732925,39.66480159299445,76.2647023070175,0.5159754872322082,9.37514454126358,18.952431678771973,-2.007388662103817,17.7445323118774,60.269910814896704,1.0,7.221360057592392,-18.00475522875786,3.141592653589793,32.346711382842,80.11795082765502,0.8317082226276398,5.422082357108593,14.202439785003662,-1.168774828894404,0.53394104646814,62.73169463689398,0.09914951742136226,0.08564672619104385,0.17438668012619019,5.775522232055664
10,3.001669044975519,0.831126582622528,27.08952465748066,75.49508249960596,0.9016484498977662,9.598985314369202,-4.6901631355285645,0.9964969145420497,36.68075856490791,76.37820981402344,0.8200272977352141,13.48426640033722,-1.0397112369537354,2.535482239846762,14.280043436988384,64.84673473457354,0.9450045824050903,6.076148748397827,14.024615287780762,1.2247514581456969,0.888520037754823,44.8976397850256,0.5082056671525549,0.08146914094686508,0.17806510627269745,5.80150032043457
11,0.9906375662071257,0.635345533490181,39.51133632679415,77.26677843635576,0.5266877859830856,9.354059994220734,19.327590465545654,-2.074047261696337,17.12842915882838,61.285863799336255,1.0,7.141333073377609,-17.25493162870407,3.141592653589793,31.7187111430676,80.59177323323942,0.8388957619667052,5.318519026041031,14.804303646087646,-1.2544552958411943,0.4680803937115908,76.23380562239612,1.0002890991309066,0.09085360914468765,0.1674826741218567,5.993694305419922
12,0.9437352766602785,0.6474454268813132,39.35694027449012,77.76857342039406,0.5327204048633575,9.355153739452362,19.56275224685669,-2.109979338525851,16.80973219307965,61.79773888228274,1.0,7.0783935487270355,-16.87906324863434,3.141592653589793,31.399443880095482,80.85375245040024,0.8433709561824798,5.301669556647539,15.083794593811035,-1.3042418856753566,0.46782407681642685,75.54864532660568,0.11311966567133094,0.08672255277633667,0.15964266657829285,5.886589527130127
13,0.7785800032328665,0.38141641989350317,17.349338270577313,61.50751350135386,0.4364166006445884,7.371031492948532,11.444001197814941,1.902821899346998,29.947299302672267,73.28595708372796,0.7104803144931793,14.485073685646057,2.113797664642334,2.6504970933056384,19.464284569841684,43.36430517456597,0.7793815493583679,13.305927515029907,13.40893268585205,2.493735566895981,0.3456142398992599,34.18407236864966,0.10577679283359286,0.08530784398317337,0.1567898988723755,0.1407635509967804
14,1.7089627245468795,1.473246729373932,37.84310441481507,62.106853809235574,1.0,10.95887303352356,13.092517852783203,-0.5184928091923986,21.910806252421082,78.19716305403823,0.764571338891983,12.071064710617065,10.278663635253906,2.269204746674644,13.35227380503148,72.84455149803406,0.7125319719314576,6.410122513771057,-2.1941816806793213,-1.59703241666192,0.7412200808205939,28.494841394878353,1.2089158823601966,0.0985240563750267,0.1722520887851715,6.595308303833008
15,0.0,1.4257397532463074,21.545510853680312,71.67857648665941,0.8865705013275147,12.095008492469788,11.858806610107422,-0.5103523371719207,33.904523071220936,65.67016573344249,0.6491929680109023,12.240343689918518,20.0,-1.4832455717488142,35.94176017491567,77.02658876954897,0.654860758781433,5.868552997708321,-8.681783676147461,-1.5635851939651266,0.44232510393069524,163.14537333745406,0.22744056194521894,0.09401022642850876,0.1662803292274475,5.9435296058654785
16,1.981878778333485,0.40455270707607266,30.426060960684598,55.77757915974128,0.3148759063333273,5.0,-15.260904133319855,-0.5777212829703546,23.76267577768004,57.93343143527973,0.8693729281425475,13.143959641456604,-4.0177202224731445,3.141592653589793,24.13168955246428,55.61914894415116,0.7559806048870086,13.245393633842468,6.519770622253418,2.5163584129540393,0.5639360840967206,11.363595123789338,0.17474477862560464,0.08781513571739197,0.16326893866062164,5.914649486541748
17,4.1031552095468635,0.879732510447502,18.20486135327825,63.21170378175444,0.8927491724491119,6.53915673494339,14.078240394592285,1.6890386818235967,40.965250923693304,70.22057043128245,0.34496431872248645,6.430872678756714,3.905637264251709,3.141592653589793,25.017922854542437,79.11707847369904,0.5985005110502243,7.107514441013336,19.529521465301514,2.0774635148084206,0.2739058476724384,69.07249743782616,0.25641351334013407,0.09677266329526901,0.16207437217235565,5.924727916717529
