,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,cost,safety_factor,error,valid_flag
0,53.88562738895416,63.670132756233215,14.09056931734085,63.09315741062164,59.71449673175812,26.558678448200226,63.55562388896942,19.680606722831726,47.8599750995636,44.70197707414627,53.61655354499817,21.829064190387726,67.77725994586945,55.922518372535706,19.4833704829216,19.84768956899643,48.72111976146698,39.90248054265976,17.883355021476746,46.31385326385498,52.81376838684082,17.97462522983551,55.27904570102692,35.8073428273201,65.96554577350616,57.10470736026764,36.75194174051285,48.305270075798035,34.08745676279068,72.84007966518402,3.4066816002406104,3.592376804340093,0.8044390497149431,0.0
1,53.88562738895416,63.670132756233215,14.09056931734085,63.09315741062164,59.71449673175812,26.558678448200226,63.55562388896942,19.680606722831726,47.8599750995636,44.70197707414627,53.61655354499817,21.829064190387726,67.77725994586945,55.922518372535706,19.4833704829216,19.84768956899643,48.72111976146698,39.90248054265976,17.883355021476746,46.31385326385498,52.81376838684082,17.97462522983551,55.27904570102692,35.8073428273201,65.96554577350616,57.10470736026764,36.75194174051285,48.305270075798035,34.08745676279068,72.84007966518402,3.4066816002406104,3.592376804340093,0.8044390497149431,0.0
2,53.88562738895416,63.670132756233215,14.09056931734085,63.09315741062164,59.71449673175812,26.558678448200226,63.55562388896942,19.680606722831726,47.8599750995636,44.70197707414627,53.61655354499817,21.829064190387726,67.77725994586945,55.922518372535706,19.4833704829216,19.84768956899643,48.72111976146698,39.90248054265976,17.883355021476746,46.31385326385498,52.81376838684082,17.97462522983551,55.27904570102692,35.8073428273201,65.96554577350616,57.10470736026764,36.75194174051285,48.305270075798035,34.08745676279068,72.84007966518402,3.4066816002406104,3.592376804340093,0.8044390497149431,0.0
3,51.92359685897827,72.95252323150635,72.97683477401733,73.04962456226349,73.29828679561615,74.14419114589691,76.87914848327637,77.7278208732605,79.13532078266144,79.36297595500946,79.5111733675003,79.95822787284851,80.00765562057495,80.13768911361694,80.31566977500916,80.4254686832428,81.1152309179306,81.2077134847641,81.24242663383484,81.33755922317505,82.30863153934479,82.32931137084961,82.41121530532837,82.54310488700867,82.55340456962585,82.5834184885025,82.7528965473175,82.96071946620941,82.98041760921478,83.1208473443985,2.1147569533797705,0.8789610205004217,0.37236797252655685,1.0
4,45.977134108543396,72.62998223304749,75.11765599250793,76.8264752626419,79.22984719276428,79.52483117580414,85.08348941802979,86.634761095047,87.80486941337585,88.25939118862152,88.41731429100037,88.52255344390869,88.58961939811707,88.6530590057373,88.6866295337677,88.77533555030823,88.9393150806427,89.01781260967255,89.0471076965332,89.07115638256073,89.26679134368896,89.30316746234894,89.37431037425995,89.39941048622131,89.42352890968323,89.45525407791138,89.49504733085632,89.51394081115723,89.54495787620544,89.55065488815308,0.8166067576725952,0.6277455670088016,0.20447342352217873,1.0
5,45.977134108543396,72.62998223304749,75.11765599250793,76.8264752626419,79.22984719276428,79.52483117580414,85.08348941802979,86.634761095047,87.80486941337585,88.25939118862152,88.41731429100037,88.52255344390869,88.58961939811707,88.6530590057373,88.6866295337677,88.77533555030823,88.9393150806427,89.01781260967255,89.0471076965332,89.07115638256073,89.26679134368896,89.30316746234894,89.37431037425995,89.39941048622131,89.42352890968323,89.45525407791138,89.49504733085632,89.51394081115723,89.54495787620544,89.55065488815308,0.8166067576725952,0.6277455670088016,0.20447342352217873,1.0
6,38.17885011434555,68.57145130634308,70.8724594116211,77.96592593193054,83.77088069915771,84.65933561325073,89.04708623886108,89.66822147369385,89.8949646949768,89.95285749435425,89.97016310691833,89.97977614402771,89.9844217300415,89.98517274856567,89.98635292053223,89.99021530151367,89.99353051185608,89.99481797218323,89.99537587165833,89.99559044837952,89.99725341796875,89.99771475791931,89.9983263015747,89.99845504760742,89.99853014945984,89.99884128570557,89.99906659126282,89.999098777771,89.9993348121643,89.99937772750854,0.6447965663401038,0.9595868829824632,0.08802858045928431,1.0
7,42.69051343202591,68.59518885612488,68.80860149860382,75.02332806587219,80.86225032806396,82.67540216445923,88.07767152786255,89.18991923332214,89.70435619354248,89.85177040100098,89.90659475326538,89.93568062782288,89.94861960411072,89.9511730670929,89.9549388885498,89.96676206588745,89.97728705406189,89.98152494430542,89.98332738876343,89.98464703559875,89.99020457267761,89.99120235443115,89.9929404258728,89.99335885047913,89.99356269836426,89.99502182006836,89.9959123134613,89.9960732460022,89.99694228172302,89.99719977378845,0.5679990292134667,0.8866177586233726,0.07501987636359914,1.0
8,42.69051343202591,68.59518885612488,68.80860149860382,75.02332806587219,80.86225032806396,82.67540216445923,88.07767152786255,89.18991923332214,89.70435619354248,89.85177040100098,89.90659475326538,89.93568062782288,89.94861960411072,89.9511730670929,89.9549388885498,89.96676206588745,89.97728705406189,89.98152494430542,89.98332738876343,89.98464703559875,89.99020457267761,89.99120235443115,89.9929404258728,89.99335885047913,89.99356269836426,89.99502182006836,89.9959123134613,89.9960732460022,89.99694228172302,89.99719977378845,0.5679990292134667,0.8866177586233726,0.07501987636359914,1.0
9,41.310465931892395,65.9513247013092,66.29587054252625,70.39775669574738,78.0130523443222,79.32709336280823,88.2778126001358,89.44443941116333,89.84573006629944,89.93902802467346,89.96560871601105,89.97980296611786,89.98475432395935,89.9851405620575,89.98730778694153,89.99104142189026,89.99429225921631,89.99559581279755,89.99609470367432,89.99644339084625,89.99791860580444,89.99825119972229,89.99865889549255,89.99875009059906,89.99877154827118,89.99906122684479,89.99925971031189,89.9992972612381,89.99947965145111,89.99951183795929,0.4225400177078672,0.9061773172634341,0.03155927698762287,1.0
